,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(1,)",[0.49028216 0.63093126 0.65158994 0.65772294],0.6076315756261023,"('num__spl__monthly_charges_sp_0',)",0.10976397614706818,0.06847489373068523,0.03953399832814213
2,"(1, 34)",[0.49358231 0.68858411 0.69372478 0.67338047],0.6373179166950047,"('num__spl__monthly_charges_sp_0', 'cat__internet_service_Fiber optic')",0.13356401292394612,0.08332225118154454,0.04810612414915035
3,"(1, 13, 34)",[0.63982754 0.6551693  0.66461994 0.66138125],0.6552495074842737,"('num__spl__monthly_charges_sp_0', 'num__q__monthly_charges', 'cat__internet_service_Fiber optic')",0.015275637343168788,0.009529516699909639,0.005501869031939864
4,"(1, 13, 29, 34)",[0.65660509 0.67591155 0.69845093 0.66917896],0.6750366337334583,"('num__spl__monthly_charges_sp_0', 'num__q__monthly_charges', 'cat__type_One year', 'cat__internet_service_Fiber optic')",0.02435039984455821,0.015190694617528703,0.008770351626607595
5,"(1, 13, 29, 30, 34)",[0.71863949 0.72002224 0.69894241 0.64720841],0.6962031357506487,"('num__spl__monthly_charges_sp_0', 'num__q__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__internet_service_Fiber optic')",0.047272504731061114,0.02949036515865305,0.0170262702628487
6,"(1, 13, 29, 30, 32, 34)",[0.70958184 0.72495606 0.71690044 0.67546052],0.7067247142402721,"('num__spl__monthly_charges_sp_0', 'num__q__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic')",0.030218861674105642,0.01885166166925459,0.010884011939415888
7,"(1, 13, 29, 30, 32, 34, 35)",[0.72978679 0.75088863 0.70870249 0.66953336],0.7147278197983267,"('num__spl__monthly_charges_sp_0', 'num__q__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.04817765990597408,0.030055034976452843,0.017352282534158665
8,"(1, 6, 13, 29, 30, 32, 34, 35)",[0.73373143 0.75222241 0.70933546 0.66790294],0.7157980617628783,"('num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_5', 'num__q__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.0505895367996261,0.031559654431592074,0.018220974981611248
9,"(1, 6, 13, 15, 29, 30, 32, 34, 35)",[0.73441807 0.74828892 0.70788584 0.67346824],0.7160152690981437,"('num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_5', 'num__q__monthly_charges', 'num__rb__monthly_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.04573829350920964,0.028533266536096363,0.016473689115474574
10,"(1, 6, 13, 15, 17, 29, 30, 32, 34, 35)",[0.73441807 0.74828892 0.70788584 0.67346824],0.7160152690981437,"('num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_5', 'num__q__monthly_charges', 'num__rb__monthly_charges', 'num__pol__1', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__gender_Male')",0.04573829350920964,0.028533266536096363,0.016473689115474574
